169	35	75	0	0	0
144	13	98	0	0	0
99	77	31	0	0	0
235	97	5	0	0	0
50	59	42	0	0	0
243	98	11	0	0	0
75	71	26	0	0	0
174	89	10	0	0	0
143	41	80	0	0	0
79	3	29	0	0	0
101	60	56	0	0	0
68	110	0	0	0	0
65	94	27	0	0	0
66	15	47	0	0	0
81	56	45	0	0	0
47	85	23	0	0	0
100	3	94	0	0	0
237	47	67	0	0	0
242	87	18	0	0	0
62	104	4	0	0	0
177	3	43	0	0	0
45	29	72	0	0	0
37	20	81	0	0	0
103	20	52	0	0	0
5	54	57	0	0	0
21	37	69	0	0	0
145	93	24	0	0	0
19	27	83	0	0	0
122	59	51	0	0	0
149	21	93	0	0	0
238	48	80	0	0	0
217	16	81	0	0	0
249	110	1	0	0	0
110	63	95	0	0	0
227	60	37	0	0	0
16	41	67	0	0	0
52	48	68	0	0	0
221	80	21	0	0	0
199	60	43	0	0	0
9	50	51	0	0	0
215	13	88	0	0	0
234	64	96	0	0	0
72	91	14	0	0	0
251	14	19	0	0	0
171	51	65	0	0	0
3	33	75	0	0	0
193	44	76	0	0	0
89	95	16	0	0	0
189	109	7	0	0	0
225	62	39	0	0	0
95	153	0	39	0	0
194	141	0	32	0	0
139	138	0	33	0	0
29	38	0	6	0	0
126	150	0	33	0	0
153	49	0	17	0	0
17	108	0	3	0	0
109	184	0	74	0	0
8	89	0	2	0	0
207	173	0	69	0	0
128	87	0	55	0	0
205	101	0	69	0	0
13	118	0	17	0	0
233	122	0	5	0	0
77	150	0	35	0	0
229	142	0	41	0	0
222	124	0	92	0	0
236	164	0	53	0	0
150	167	0	50	0	0
200	160	0	59	0	0
59	218	0	99	0	0
83	139	0	20	0	0
22	142	0	23	0	0
63	121	0	21	0	0
106	12402	0	0	1	0
161	137	0	21	0	0
119	128	0	18	0	0
130	118	0	17	0	0
15	132	0	35	0	0
239	140	0	43	0	0
156	210	0	94	0	0
190	121	0	17	0	0
46	119	0	11	0	0
127	134	0	20	0	0
42	155	0	82	0	0
223	116	0	4	0	0
204	139	0	29	0	0
44	170	0	54	0	0
10	50	0	18	0	0
248	186	0	81	0	0
14	69	0	37	0	0
112	148	0	38	0	0
188	135	0	21	0	0
24	202	0	91	0	0
137	142	0	25	0	0
117	118	0	2	0	0
159	202	0	93	0	0
74	216	0	99	0	0
245	148	0	40	0	0
114	176	0	75	0	0
192	21888	0	0	1	0
208	21008	0	0	1	0
172	19608	0	0	1	0
55	6380	0	0	1	0
34	3876	0	0	1	0
31	3131	0	0	1	0
176	20240	0	0	1	0
213	24921	0	0	1	0
138	15870	0	0	1	0
88	10208	0	0	1	0
155	15035	0	0	1	0
71	8378	0	0	1	0
228	25992	0	0	1	0
182	18382	0	0	1	0
2	202	0	0	1	0
61	6954	0	0	1	0
73	7300	0	0	1	0
173	20241	0	0	1	0
196	22540	0	0	1	0
35	3675	0	0	1	0
76	8208	0	0	1	0
219	7008	0	0	1	0
201	23115	0	0	1	0
179	12351	0	0	1	0
140	15400	0	0	1	0
27	2997	0	0	1	0
23	2392	0	0	1	0
230	7360	0	0	1	0
96	9312	0	0	1	0
166	5312	0	0	1	0
64	6912	0	0	1	0
58	6612	0	0	1	0
